index_code,con_code,trade_date,weight
000300.SH,002460.SZ,20250901,0.1913
000300.SH,601995.SH,20250901,0.1897
000300.SH,002466.SZ,20250901,0.1889
000300.SH,002422.SZ,20250901,0.1869
000300.SH,002304.SZ,20250901,0.1853
000300.SH,002600.SZ,20250901,0.183
000300.SH,688169.SH,20250901,0.1828
000300.SH,600795.SH,20250901,0.1824
000300.SH,002074.SZ,20250901,0.1809
000300.SH,000408.SZ,20250901,0.1792
000300.SH,002736.SZ,20250901,0.1748
000300.SH,600426.SH,20250901,0.1733
000300.SH,601998.SH,20250901,0.1717
000300.SH,688036.SH,20250901,0.171
000300.SH,002938.SZ,20250901,0.1694
000300.SH,000807.SZ,20250901,0.1682
000300.SH,000768.SZ,20250901,0.1677
000300.SH,600009.SH,20250901,0.1677
000300.SH,601360.SH,20250901,0.1673
000300.SH,000963.SZ,20250901,0.166
000300.SH,601881.SH,20250901,0.1651
000300.SH,601077.SH,20250901,0.1645
000300.SH,600176.SH,20250901,0.1631
000300.SH,600196.SH,20250901,0.1624
000300.SH,601788.SH,20250901,0.1616
000300.SH,600989.SH,20250901,0.161
000300.SH,002236.SZ,20250901,0.1599
000300.SH,002001.SZ,20250901,0.1589
000300.SH,300442.SZ,20250901,0.1584
000300.SH,601058.SH,20250901,0.1581
000300.SH,600066.SH,20250901,0.1566
000300.SH,600346.SH,20250901,0.1561
000300.SH,601186.SH,20250901,0.155
000300.SH,600460.SH,20250901,0.1544
000300.SH,000661.SZ,20250901,0.1541
000300.SH,000157.SZ,20250901,0.1531
000300.SH,300418.SZ,20250901,0.1525
000300.SH,002252.SZ,20250901,0.152
000300.SH,601066.SH,20250901,0.1519
000300.SH,000630.SZ,20250901,0.1468
000300.SH,601901.SH,20250901,0.1466
000300.SH,688126.SH,20250901,0.1465
000300.SH,002920.SZ,20250901,0.146
000300.SH,000975.SZ,20250901,0.1448
000300.SH,301236.SZ,20250901,0.1431
000300.SH,600115.SH,20250901,0.1422
000300.SH,600886.SH,20250901,0.1416
000300.SH,001979.SZ,20250901,0.1411
000300.SH,002648.SZ,20250901,0.1403
000300.SH,300347.SZ,20250901,0.14
000300.SH,300661.SZ,20250901,0.1395
000300.SH,600588.SH,20250901,0.1387
000300.SH,000617.SZ,20250901,0.1376
000300.SH,601878.SH,20250901,0.1374
000300.SH,600011.SH,20250901,0.1371
000300.SH,601633.SH,20250901,0.1356
000300.SH,600029.SH,20250901,0.134
000300.SH,601800.SH,20250901,0.1338
000300.SH,603369.SH,20250901,0.1337
000300.SH,601868.SH,20250901,0.1313
000300.SH,002601.SZ,20250901,0.1309
000300.SH,600372.SH,20250901,0.1298
000300.SH,300782.SZ,20250901,0.1297
000300.SH,302132.SZ,20250901,0.1295
000300.SH,600741.SH,20250901,0.1284
000300.SH,002493.SZ,20250901,0.126
000300.SH,600362.SH,20250901,0.1252
000300.SH,601877.SH,20250901,0.1249
000300.SH,600233.SH,20250901,0.1248
000300.SH,300896.SZ,20250901,0.1241
000300.SH,003816.SZ,20250901,0.1239
000300.SH,002709.SZ,20250901,0.1222
000300.SH,603296.SH,20250901,0.122
000300.SH,600674.SH,20250901,0.119
000300.SH,601117.SH,20250901,0.1183
000300.SH,301269.SZ,20250901,0.1176
000300.SH,601111.SH,20250901,0.1168
000300.SH,601319.SH,20250901,0.1164
000300.SH,000596.SZ,20250901,0.116
000300.SH,688506.SH,20250901,0.1159
000300.SH,600219.SH,20250901,0.1158
000300.SH,688396.SH,20250901,0.1157
000300.SH,300759.SZ,20250901,0.1157
000300.SH,300122.SZ,20250901,0.114
000300.SH,002129.SZ,20250901,0.1126
000300.SH,000786.SZ,20250901,0.1109
000300.SH,000895.SZ,20250901,0.1109
000300.SH,600482.SH,20250901,0.1107
